VideoId,Label
JoGp,0 1 5 16 6 8 4 69 3 15
nOGp,5 16 14 6 15 8 4 3 11 49
uPGp,57 31 40 117 4 13 6 3 10 47
2ZGp,3 4 6 13 8 9 10 15 28 18
4gGp,11 18 15 22 20 32 50 29 8 66
wAGp,0 1 15 39 50 21 11 23 18 65
TuGp,8 0 6 3 12 13 4 1 15 5
cXGp,21 23 24 1 0 11 74 15 7 73
rSGp,0 1 27 2 7 12 5 35 17 15
SIGp,15 18 11 9 49 2 7 5 13 10
ocGp,1 0 35 15 27 23 16 21 36 5
05Gp,0 1 3 2 6 7 12 19 16 5
hSGp,1 0 25 35 16 5 7 19 15 2
HhGp,7 2 17 48 19 15 0 1 177 11
ypGp,4 9 10 13 6 3 15 34 18 8
0EGp,0 161 6 8 548 4 356 567 100 704
rBGp,5 16 14 0 1 6 15 8 12 7
rlGp,3 4 6 13 9 10 28 38 8 33
ZCGp,0 11 2 12 15 7 1 8 19 26
6DGp,1 0 26 11 15 5 18 2 12 23
CwGp,66 39 11 15 50 0 21 13 65 6
YUGp,12 15 18 11 2 0 7 8 13 10
fQGp,1 0 6 16 5 8 3 15 35 4
76Gp,0 1 11 5 15 8 35 16 23 27
yhGp,2 30 7 11 15 18 9 6 13 26
73Gp,14 6 0 5 1 3 4 16 15 8
p6Gp,11 2 15 0 20 1 22 18 7 29
OnGp,1 0 21 23 27 35 15 5 24 36
MTGp,5 16 1 0 6 15 4 3 144 190
xJGp,15 18 0 12 2 8 1 67 11 5
xuGp,4 13 10 9 33 28 38 6 3 11
MIGp,8 15 18 6 66 11 49 7 2 12
EtGp,3 6 4 8 13 10 9 15 18 5
tjGp,0 1 7 12 2 15 35 17 19 36
dDGp,15 18 11 2 43 59 7 9 17 0
JiGp,12 0 15 2 18 13 1 19 7 11
RuGp,11 15 2 7 18 20 22 1 0 26
aOGp,4 9 13 10 3 6 28 31 8 33
BSGp,0 1 16 3 5 6 19 25 12 35
wFGp,0 1 5 16 11 27 35 15 23 21
CyGp,0 12 15 1 133 6 325 23 8 21
FyGp,1 0 5 16 69 6 35 12 4 3
MZGp,5 49 11 15 16 1 21 26 0 18
ujGp,1 0 16 25 5 15 35 19 17 7
eUGp,2 7 1 0 15 11 17 64 18 12
sqGp,21 23 2 24 11 15 7 4 0 13
wjGp,1 0 35 42 16 15 19 5 17 4
1qGp,12 0 2 11 15 7 17 26 1 21
BvGp,0 1 12 15 63 35 19 18 8 11
bWGp,4 10 13 3 6 9 8 15 97 243
qkGp,0 15 1 12 17 2 19 14 18 7
HVGp,0 2 15 7 12 18 11 1 17 19
PiGp,3 6 4 13 8 10 9 15 12 28
VNGp,4 13 3 10 6 9 41 8 15 18
caGp,0 12 1 4 9 15 3 2 6 13
oRGp,0 12 14 1 19 2 15 17 5 7
EkGp,8 6 3 0 558 15 12 1 18 16
QUGp,5 16 11 1 15 4 0 26 49 6
QRGp,4 15 6 18 14 13 5 50 10 8
nNGp,13 4 154 9 263 6 3 15 10 8
kbGp,2 30 7 15 11 18 0 55 17 19
a0Gp,1 0 27 35 15 7 11 2 23 36
SvGp,4 13 3 9 6 10 14 5 71 15
3NGp,14 4 9 13 15 5 18 3 6 10
yyGp,1 0 35 36 27 16 15 42 12 5
LiGp,15 18 11 2 7 0 1 26 49 12
ogGp,4 9 10 37 13 3 6 0 1 28
1MGp,2 7 11 15 0 18 17 12 1 19
7rGp,0 1 42 27 15 11 102 23 18 93
B6Gp,14 12 8 0 15 5 6 1 18 16
anGp,26 15 2 18 0 11 7 1 5 16
i5Gp,15 12 2 18 14 0 17 19 7 49
gfGp,17 19 2 0 30 15 1 12 143 7
zzGp,3 6 13 8 4 10 15 28 11 9
0oGp,2 15 11 18 7 5 16 26 17 12
iOGp,31 13 57 4 117 40 18 10 15 9
YaGp,2 30 15 17 19 11 18 55 340 143
gdGp,5 16 14 0 1 6 8 3 15 12
CqGp,0 15 11 1 18 12 2 21 27 20
TXGp,0 1 5 16 11 35 15 12 27 42
bhGp,8 6 3 0 15 4 13 18 1 9
8SGp,11 1 0 21 23 15 24 74 20 5
LtGp,0 12 2 5 15 19 79 4 91 1
gkGp,2 44 46 155 162 264 377 15 4 13
jEGp,0 1 5 4 16 3 6 9 10 81
ZpGp,2 5 17 15 19 0 7 12 16 1
01Gp,2 11 15 18 7 17 30 9 13 4
zGGp,2 7 17 15 19 0 1 297 12 95
pxGp,14 6 8 5 0 61 12 15 66 1
7mGp,4 3 6 8 13 0 10 9 1 28
jIGp,0 1 27 35 15 42 12 17 36 2
FdGp,3 4 6 9 13 10 5 15 16 0
NRGp,3 4 6 5 10 9 13 1 0 16
3yGp,3 8 6 0 1 4 13 19 15 9
6vGp,0 12 1 2 15 19 7 11 17 16
APGp,3 6 13 8 4 15 10 9 12 18
5PGp,8 6 3 4 13 15 18 10 2 0
3OGp,15 18 11 2 1 0 43 7 12 17
jbGp,5 15 11 18 49 16 26 9 6 13
vJGp,3 4 6 9 13 10 28 8 2 15
MHGp,1 0 5 16 14 35 19 17 2 12
fJGp,2 7 0 19 17 1 12 15 35 305
PfGp,3 6 4 13 10 9 8 11 28 15
veGp,4 3 5 6 13 10 16 9 14 0
IeGp,0 1 27 12 2 35 9 5 15 31
CkGp,3 6 4 13 10 9 8 28 12 0
iDGp,0 1 26 16 15 23 8 11 5 81
s8Gp,7 2 17 48 19 0 15 1 5 12
aMGp,0 1 2 15 7 42 27 11 18 17
qNGp,0 5 26 49 16 11 1 15 23 21
YTGp,11 18 15 8 6 20 32 49 29 22
LvGp,5 1 16 0 25 35 4 6 3 19
nmGp,0 1 5 16 27 35 21 2 23 12
nyGp,6 8 3 4 13 5 0 1 16 10
sPGp,0 1 27 23 21 106 15 73 35 24
yEGp,4 0 1 3 9 33 28 13 6 38
xtGp,5 16 0 1 15 6 8 35 19 18
FXGp,61 8 18 15 6 49 13 7 66 2
EXGp,2 19 17 7 30 13 4 15 11 6
nuGp,10 4 3 13 6 9 8 38 28 15
a7Gp,11 15 18 20 2 22 29 32 8 7
a2Gp,12 18 26 2 15 11 0 64 49 62
nQGp,17 2 19 30 7 15 0 12 340 55
gmGp,2 15 18 11 7 17 13 19 9 76
KZGp,3 6 8 13 61 4 2 5 89 15
EyGp,2 30 17 7 19 13 15 9 4 8
8GGp,2 7 11 15 18 21 62 26 5 64
XqGp,0 1 21 23 24 27 7 73 15 2
WiGp,11 20 22 15 18 2 32 29 7 8
BxGp,7 2 12 15 11 17 18 0 198 75
frGp,4 3 6 13 9 10 8 14 15 28
i7Gp,0 1 35 12 5 42 15 628 19 6
VSGp,0 1 27 7 23 21 35 2 17 11
p2Gp,6 4 8 15 3 10 13 11 18 9
taGp,0 11 15 2 12 7 18 1 20 195
c4Gp,0 1 5 6 16 4 19 3 17 8
pYGp,1 0 5 16 4 69 3 6 8 13
rTGp,5 0 1 16 26 15 11 18 49 21
blGp,5 16 14 6 4 3 1 0 15 84
4PGp,2 7 30 13 4 17 15 0 3 8
M7Gp,0 1 589 236 404 69 568 6 3 4
tXGp,2 7 15 17 135 95 297 18 12 11
7BGp,8 5 11 0 15 6 1 18 49 16
P8Gp,0 12 2 19 15 79 1 7 6 17
OEGp,3 6 4 13 8 10 9 28 15 18
LSGp,44 2 46 11 109 145 15 138 18 13
MYGp,7 2 1 0 15 11 17 26 35 18
IsGp,1 0 35 17 7 2 15 36 19 42
kNGp,2 15 11 18 7 5 62 26 49 1
1CGp,18 15 117 6 13 31 57 9 10 11
7NGp,15 1 0 18 11 35 7 2 16 12
KQGp,11 20 32 29 22 15 8 2 18 0
moGp,4 13 10 3 9 6 8 15 18 28
FNGp,0 7 2 17 1 15 19 12 14 35
zrGp,10 9 4 13 6 8 3 18 34 15
hEGp,0 1 5 26 81 16 15 23 11 108
zuGp,21 24 1 23 0 2 73 7 26 15
O8Gp,0 1 27 15 35 5 12 42 36 11
IaGp,14 5 4 9 15 6 49 13 18 16
fDGp,2 62 7 15 18 11 270 13 90 9
XpGp,14 0 6 12 1 8 15 2 5 4
6sGp,5 16 0 1 19 12 15 6 35 17
2hGp,12 18 11 15 8 0 2 26 13 6
A2Gp,5 0 1 16 8 6 26 12 14 4
Q4Gp,11 15 18 21 2 1 22 20 7 66
eyGp,4 3 10 9 13 6 28 8 33 38
EfGp,11 6 15 20 13 8 18 3 4 66
olGp,0 15 530 226 11 18 874 8 12 49
lUGp,2 7 11 15 0 18 51 137 540 45
kDGp,0 12 8 15 6 3 261 52 13 19
33Gp,0 577 1 5 15 11 4 9 13 18
TzGp,3 4 6 9 10 13 8 15 28 5
tmGp,11 50 13 20 4 6 65 10 15 22
9zGp,8 0 12 6 92 16 15 11 5 369
LfGp,2 15 7 17 18 19 12 60 11 0
4sGp,13 154 263 4 6 15 10 18 9 8
72Gp,26 15 18 1 0 21 23 49 11 12
GYGp,26 15 0 18 1 11 2 16 5 17
jrGp,2 7 0 17 15 19 1 11 18 12
wDGp,8 6 4 3 13 9 0 10 12 15
NNGp,2 30 17 0 19 7 1 15 11 12
gLGp,26 8 5 11 16 15 526 0 6 18
tbGp,0 1 5 16 11 26 15 8 35 81
QiGp,0 1 27 17 2 5 42 35 7 12
bXGp,6 8 3 13 4 10 9 11 15 18
n6Gp,11 2 7 15 26 0 12 21 30 18
lvGp,13 4 348 9 10 31 3 15 18 6
uNGp,0 12 1 15 2 16 5 52 17 19
xXGp,15 18 11 2 7 43 59 1 5 238
oFGp,4 3 6 9 10 13 28 8 38 33
ADGp,5 1 0 16 15 4 2 17 19 14
ELGp,18 2 15 11 43 7 59 76 60 5
AHGp,2 30 7 17 15 19 11 55 0 18
5sGp,2 7 17 15 11 19 75 0 83 30
1FGp,7 2 17 15 0 11 1 48 19 18
dYGp,15 18 13 12 4 8 0 3 2 10
BRGp,7 2 15 11 18 17 12 0 19 1
AQGp,15 2 18 12 49 7 9 4 60 13
6KGp,3 6 4 13 10 9 8 28 15 18
I2Gp,9 10 4 34 15 13 18 6 2 11
1KGp,26 5 11 1 0 16 6 49 8 21
2RGp,0 15 1 12 2 7 11 27 18 17
0HGp,0 15 12 2 1 7 14 17 19 52
t8Gp,18 15 11 96 26 0 49 5 13 708
XxGp,3 4 6 13 10 9 8 28 38 0
MOGp,17 0 2 19 1 15 12 7 4 30
yCGp,0 12 1 15 14 2 7 52 17 35
6XGp,0 1 42 17 2 15 19 4 290 586
l5Gp,0 1 5 15 8 6 19 12 2 42
t4Gp,13 3 4 18 15 8 6 10 9 11
OLGp,15 2 1 0 7 5 16 18 44 12
DaGp,14 0 1 5 15 16 7 2 11 49
CuGp,26 5 11 15 1 0 16 21 18 49
AIGp,39 66 50 15 13 65 4 18 10 202
P1Gp,1 26 0 15 11 23 21 16 66 50
SqGp,2 7 15 75 11 13 17 18 19 6
PNY5,2 7 11 15 26 17 30 18 1 90
gqY5,1 0 23 35 7 21 36 15 27 5
DeY5,12 13 0 8 3 6 4 15 2 19
00Y5,11 22 20 32 29 2 15 18 13 6
joY5,5 0 16 14 15 1 12 8 7 2
vbY5,4 3 13 6 10 9 8 28 33 38
nJY5,18 15 2 11 5 9 4 10 49 43
PiY5,12 0 2 23 17 21 7 15 19 24
83Y5,5 16 1 0 6 4 81 144 15 301
XsY5,4 10 13 3 97 243 15 278 18 6
4QY5,0 15 12 18 1 19 2 8 17 11
5YY5,2 7 17 15 11 19 12 18 0 48
zEY5,0 1 4 9 10 102 93 6 42 5
3PY5,15 18 11 26 1 0 67 2 49 8
mYY5,3 6 4 13 8 10 9 28 33 38
52Y5,49 5 80 21 18 15 23 265 16 0
WwY5,11 21 2 1 15 23 7 26 24 18
QAY5,14 6 5 3 0 4 15 16 8 2
KbY5,2 7 0 1 15 17 19 18 35 12
BfY5,4 13 33 38 28 3 9 6 10 8
zJY5,4 13 41 3 6 10 54 15 8 9
dsY5,31 18 57 15 47 40 12 13 9 117
BWY5,3 4 6 13 10 9 8 28 38 0
ctY5,2 14 0 12 15 7 17 5 11 18
HuY5,0 12 1 14 2 15 7 5 17 19
LmY5,3 6 4 13 8 10 9 28 11 5
iDY5,1 0 5 21 16 6 2 27 15 23
qvY5,21 23 24 0 1 73 11 15 2 18
FvY5,15 18 11 43 2 60 59 101 286 7
0yY5,15 18 11 2 12 7 49 5 88 388
pAY5,2 15 11 7 5 18 62 12 0 19
yqY5,12 0 2 17 19 15 237 1 13 7
HqY5,0 1 5 14 35 16 6 12 8 19
eTY5,11 26 21 15 1 23 20 22 7 2
sxY5,15 0 11 12 18 49 21 2 7 50
sPY5,8 6 3 4 13 15 12 0 10 5
Q4Y5,1 0 35 15 27 36 11 16 7 5
K3Y5,0 2 52 12 1 7 17 15 19 35
kCY5,5 14 16 0 15 49 50 18 11 26
ssY5,25 1 0 16 35 15 5 14 12 42
HNY5,6 4 3 13 8 10 9 28 15 33
DnY5,3 4 6 9 10 13 5 28 15 8
EYY5,231 273 491 2 160 15 9 252 888 4
wjY5,19 17 2 30 6 4 9 3 13 8
U2Y5,0 765 15 1175 1 1092 11 6 8 12
zlY5,7 2 15 18 17 11 75 12 19 30
k5Y5,15 18 11 49 9 2 13 8 4 6
N1Y5,0 12 2 15 79 18 11 376 7 91
hVY5,4 3 13 6 10 9 28 38 8 33
LSY5,2 44 46 7 11 15 145 155 0 18
mvY5,8 6 3 4 13 10 9 15 18 28
h3Y5,4 9 10 13 37 3 6 15 18 28
K0Y5,5 16 1 0 4 12 15 3 7 144
YEY5,15 18 87 545 536 11 4 2 12 0
AkY5,50 49 13 4 11 10 65 39 66 6
brY5,0 1 5 15 4 6 18 11 49 13
07Y5,0 6 5 1 8 577 3 16 4 81
DKY5,11 20 22 15 32 29 18 2 13 6
9PY5,17 19 2 7 0 13 15 1 6 4
05Y5,11 15 18 21 49 20 22 50 2 26
KRY5,3 4 6 13 10 9 28 8 38 33
UHY5,0 12 2 15 11 1 7 19 17 18
pFY5,2 30 17 15 58 232 60 18 7 11
nrY5,2 0 7 15 1 44 5 11 46 19
a0Y5,21 15 23 1 26 0 27 253 12 271
JwY5,11 18 15 26 13 4 2 21 49 5
mUY5,348 13 4 31 15 10 833 57 3 117
B8Y5,0 1 27 35 15 11 36 7 42 5
EpY5,11 22 20 15 32 29 6 13 18 8
AvY5,6 3 0 4 8 12 13 1 61 16
2xY5,2 7 11 0 17 19 12 15 1 18
5DY5,4 3 14 6 5 16 9 15 10 25
bcY5,1 0 5 16 35 4 6 8 15 42
veY5,0 12 52 15 8 70 125 2 6 705
dBY5,4 10 13 3 9 6 8 28 15 18
jfY5,15 0 2 7 11 18 1 8 19 35
ZAY5,0 12 19 2 15 17 7 1 11 58
TwY5,0 1 5 35 16 15 42 12 2 7
GBY5,3 4 13 6 8 10 9 11 15 18
UxY5,7 2 17 0 15 19 48 1 11 12
9QY5,5 4 9 0 16 26 13 6 3 2
qMY5,3 6 4 13 9 10 8 28 38 33
NbY5,9 15 4 18 14 2 11 6 13 10
QBY5,2 15 17 7 18 64 19 149 26 729
YHY5,0 1 42 15 4 35 111 11 17 18
baY5,12 0 13 15 4 5 1 8 2 89
bhY5,14 5 6 0 16 12 8 66 15 3
9hY5,6 8 3 4 13 10 9 0 28 15
5hY5,2 18 7 15 17 11 9 76 30 43
LEY5,2 64 15 18 17 30 7 12 475 113
6eY5,5 16 4 0 6 14 1 3 9 15
jAY5,7 2 17 15 18 171 224 48 235 19
yFY5,0 1 27 26 42 5 15 81 63 106
w7Y5,1 0 36 35 7 15 17 2 19 12
kMY5,7 11 2 15 12 18 8 0 225 19
iHY5,3 6 4 13 8 9 12 5 15 2
x1Y5,8 6 3 13 4 71 15 10 66 9
iRY5,6 4 3 8 13 10 41 9 33 0
RgY5,3 0 4 6 13 12 8 10 9 15
TQY5,8 6 3 13 4 10 9 15 18 11
aTY5,17 2 7 19 0 12 1 48 15 129
87Y5,31 18 49 15 9 57 40 13 4 47
zgY5,0 1 5 4 16 6 8 3 9 26
4mY5,6 8 3 4 13 5 11 15 0 89
9NY5,4 9 10 3 13 6 2 15 28 37
BqY5,11 1 15 7 2 0 20 21 18 26
vlY5,15 18 11 67 0 2 7 1 140 26
ROY5,21 23 24 1 0 73 74 15 7 2
AzY5,13 3 4 6 9 10 8 18 33 28
kuY5,4 3 13 6 10 9 8 28 33 15
8wY5,15 50 18 4 11 49 8 13 65 3
cPY5,13 3 4 6 8 41 10 9 389 15
qbY5,3 6 4 13 8 10 9 28 38 33
KSY5,14 0 6 5 12 16 1 8 3 4
nkY5,2 7 15 18 12 11 0 17 60 62
bCY5,15 11 18 2 49 7 62 26 21 12
UdY5,2 15 7 11 18 17 12 43 0 19
VuY5,11 2 15 7 18 0 12 62 1 49
SiY5,4 18 9 15 13 2 10 6 11 3
T7Y5,0 1 5 35 16 4 17 19 6 9
mIY5,11 15 2 18 7 62 12 60 88 49
Z3Y5,0 1 27 23 35 21 106 26 11 36
rLY5,5 16 0 1 4 6 19 3 14 9
hcY5,5 0 1 16 4 6 26 13 3 8
HdY5,4 3 13 6 10 9 28 33 8 38
daY5,11 2 15 20 18 7 29 32 22 5
ShY5,0 1 27 15 11 42 35 7 5 2
RoY5,10 4 9 13 6 3 8 37 15 18
iyY5,5 4 16 26 1 0 6 13 8 3
awY5,4 0 13 15 12 9 10 19 6 3
7UY5,11 0 21 1 23 15 26 20 6 49
MnY5,0 18 26 15 11 1 49 21 23 80
EmY5,0 15 12 2 18 11 19 17 8 7
FPY5,5 16 6 14 4 3 49 13 9 1
E8Y5,8 4 6 3 13 15 0 12 9 18
M3Y5,4 13 8 0 1 6 10 3 33 28
XUY5,15 18 11 276 60 7 2 49 0 291
IWY5,6 8 3 4 13 10 15 0 1 9
D2Y5,0 1 35 36 27 15 42 16 7 11
2zY5,11 15 0 2 18 7 1 21 26 12
chY5,8 6 3 13 4 10 9 28 2 33
QYY5,6 3 8 4 13 14 12 5 61 15
yJY5,2 4 9 13 10 18 7 11 3 6
tbY5,6 44 2 4 46 9 13 107 114 138
4MY5,15 4 13 3 99 9 0 6 18 8
dvY5,4 9 10 11 2 13 15 18 6 7
lZY5,0 1 42 15 35 2 7 17 5 4
r6Y5,3 6 4 13 8 10 9 28 15 54
YNY5,0 1 5 7 12 15 2 17 35 19
laY5,2 0 7 1 26 15 21 17 11 23
qVY5,0 27 1 26 15 23 21 11 7 18
d7Y5,15 18 50 65 11 7 2 8 66 0
G9Y5,14 0 5 2 11 15 12 7 1 66
W7Y5,11 7 15 2 18 5 21 62 26 49
MOY5,10 4 8 0 12 13 6 15 671 11
b9Y5,5 16 4 1 0 6 15 3 13 8
6qY5,18 11 15 13 9 49 8 10 4 6
1VY5,31 57 40 117 13 4 0 47 6 10
dXY5,3 4 6 13 10 9 28 8 38 15
oWY5,3 13 4 41 10 6 8 15 9 54
m1Y5,12 0 15 19 2 7 17 11 18 6
hLY5,1 0 25 35 15 19 16 17 11 7
mTY5,15 18 11 5 49 9 299 13 10 191
raY5,15 18 4 9 13 11 10 8 5 67
K6Y5,1 0 7 2 35 19 17 15 12 11
fFY5,1 0 2 7 3 6 4 15 16 35
ZNY5,0 2 15 12 7 18 17 11 60 19
8TY5,15 18 5 14 8 6 2 11 87 16
glY5,11 2 15 18 20 22 7 21 13 9
LRY5,1 0 35 16 36 42 15 4 25 12
IkY5,1 0 16 35 5 25 19 7 17 42
ooY5,1 0 36 35 27 15 7 2 12 16
QdY5,0 8 1 15 11 18 2 6 12 7
UJY5,1 0 36 35 27 15 12 7 142 42
EZY5,1 0 35 7 27 15 2 42 36 17
81Y5,0 1 35 12 17 36 7 19 2 15
CCY5,3 13 4 41 6 10 8 15 9 54
3aY5,49 18 26 15 11 50 13 4 65 80
UiY5,0 1 27 15 2 18 5 11 13 4
HQY5,2 231 15 273 160 491 17 0 7 252
vmY5,2 17 19 7 0 30 1 12 15 11
X0Y5,26 1 0 21 23 15 49 326 6 11
YiY5,1 0 27 35 23 11 21 15 63 16
4XY5,2 8 0 15 7 11 61 12 18 26
SnY5,6 8 4 3 13 5 15 10 12 16
oKY5,0 12 15 1 2 19 8 35 17 16
iaY5,0 12 63 2 1 15 7 11 167 17
vrY5,11 2 15 18 7 20 22 13 9 26
SIY5,0 1 5 15 16 42 11 12 6 9
NPY5,4 9 3 6 10 14 13 5 1 0
l9Y5,15 0 2 17 13 18 154 263 1 8
ezY5,0 1 2 7 5 12 15 35 17 11
31Y5,6 8 4 13 3 10 9 28 15 33
Z9Y5,1 5 0 16 35 25 19 12 15 17
NCY5,7 2 15 18 11 17 48 344 12 171
eLY5,103 440 0 118 82 2 15 4 3 6
tpY5,13 4 8 6 10 3 9 33 28 11
sIY5,0 21 23 1 24 74 106 27 7 26
2lY5,0 14 5 1 7 12 16 15 19 2
fYY5,15 18 463 11 708 9 2 96 0 13
TfY5,0 8 1 15 17 12 19 6 2 68
BQY5,4 13 3 6 10 8 54 9 0 1
AtY5,4 33 13 28 86 78 38 3 257 8
yOY5,11 15 18 2 7 0 1 12 5 62
bQY5,8 6 0 3 2 5 14 15 7 12
d8Y5,1 0 11 5 35 16 15 19 7 42
XHY5,8 6 4 10 13 9 3 15 18 28
TFY5,1 0 5 16 35 8 6 12 15 4
mVY5,3 4 6 9 0 10 13 1 15 28
L7Y5,1 21 23 26 7 24 2 11 0 15
nSY5,4 3 13 6 10 9 28 38 33 8
aCY5,4 9 10 13 3 6 28 38 8 33
XbY5,3 6 4 13 10 8 9 28 33 15
s2Y5,2 7 15 18 9 4 11 5 12 10
KIY5,7 2 0 1 15 17 12 11 18 35
shY5,0 15 17 12 19 2 1 5 16 7
HvY5,0 1 36 35 15 7 2 17 19 12
UPY5,8 6 3 4 13 10 15 9 18 0
wRY5,49 18 15 11 13 5 4 6 8 50
7hY5,4 33 13 28 78 3 10 38 86 9
9IY5,12 0 2 15 11 7 19 21 18 8
CPY5,4 10 18 97 13 15 8 9 351 54
4nY5,5 0 1 16 12 2 7 15 19 11
ieY5,0 12 8 15 329 92 2 110 369 18
ohY5,9 0 21 4 15 12 2 23 1 24
C5Y5,5 1 0 16 35 14 25 19 17 15
OwY5,21 15 26 23 18 7 24 11 49 2
WHY5,3 6 0 8 12 14 4 5 13 1
1ZY5,0 12 15 19 17 52 2 1 18 7
JhY5,7 2 0 17 1 19 48 15 35 12
3gY5,14 0 15 5 4 6 1 16 9 2
skY5,2 8 6 7 9 3 4 15 17 18
CdY5,5 16 2 0 7 17 1 19 14 15
hiY5,5 0 1 16 15 12 7 2 35 19
2VY5,1 0 35 36 5 17 16 19 12 15
fvY5,0 1 11 15 20 4 2 13 27 21
P4Y5,1 21 26 23 0 15 24 5 16 11
GAY5,4 3 6 13 10 9 8 0 1 28
0DY5,3 6 8 4 5 13 16 9 15 10
QRY5,1 0 35 7 2 15 17 19 12 16
qqY5,12 0 15 2 19 16 1 17 18 5
NtY5,0 1 42 15 111 12 11 18 8 27
8VY5,4 10 13 9 3 6 8 0 15 18
HBY5,5 16 0 15 7 2 14 49 19 12
BKY5,0 226 15 12 874 530 8 18 11 1525
lMY5,0 1 12 2 15 5 4 7 17 13
LTY5,15 1 253 21 23 271 148 18 26 11
q3Y5,8 6 3 4 1 0 13 10 15 7
6PY5,5 0 1 16 12 6 35 3 14 19
56Y5,0 5 1 23 26 15 21 301 12 7
7dY5,15 18 4 8 9 6 3 10 13 11
9DY5,11 22 20 32 29 13 6 15 2 4
IYY5,18 15 2 11 7 26 88 12 67 49
0aY5,50 15 11 18 13 39 2 65 12 21
b0Y5,0 5 15 1 17 14 2 19 7 16
msY5,2 4 9 15 18 6 5 44 46 13
x5Y5,15 2 18 273 160 231 7 49 17 12
xNY5,14 5 6 71 8 66 16 15 12 3
siY5,0 1 11 5 26 15 35 2 21 27
rnY5,1 0 36 2 15 7 94 35 27 6
8SY5,3 4 13 6 10 9 28 8 38 12
0GY5,1 21 0 23 24 11 5 15 73 74
rxY5,1 0 23 21 24 2 7 15 74 27
yUY5,13 18 15 4 11 9 126 10 220 3
lNY5,1 0 11 27 15 21 23 18 20 35
3xY5,18 15 2 11 473 76 547 9 446 13
OoY5,8 6 0 3 5 4 16 15 12 10
YRY5,15 0 4 8 12 6 9 3 18 5
O6Y5,5 14 16 6 0 3 4 15 12 1
fSY5,13 8 4 18 6 15 3 2 10 311
EvY5,0 12 15 329 52 1 8 2 110 19
ZTY5,4 13 9 10 6 8 188 3 168 18
pwY5,5 16 1 0 4 15 6 11 3 81
5UY5,3 4 6 13 9 10 8 18 15 5
f4Y5,5 1 0 16 6 3 4 81 8 15
3FY5,4 9 10 13 6 3 15 34 8 14
sEY5,21 23 24 1 73 0 2 15 11 115
pRY5,0 12 1 15 2 19 16 5 17 7
hgY5,18 15 4 13 10 9 6 67 3 11
L9Y5,13 4 6 3 8 0 10 164 9 12
BGY5,4 9 3 15 13 6 12 10 14 8
ZQY5,0 1 12 16 35 19 5 15 25 2
U1Y5,8 6 3 13 4 5 10 0 12 16
WNY5,3 6 8 4 13 2 10 7 15 18
5rY5,7 2 15 17 9 18 11 13 3 4
bNY5,8 13 4 6 3 175 164 33 10 89
eCY5,21 23 24 11 2 15 18 9 4 7
uhY5,11 20 29 22 32 15 0 1 8 6
icY5,0 12 1 2 15 19 8 63 6 7
GaY5,3 1 0 4 6 15 5 16 8 13
EgY5,0 1 5 16 12 69 743 144 3 6
u1Y5,0 1 12 35 5 16 19 25 14 17
VCY5,1 5 0 26 16 15 11 21 81 23
gmY5,3 4 6 13 10 9 28 8 5 38
aQY5,5 14 6 15 8 18 4 13 49 71
ANY5,11 20 22 29 32 15 18 2 13 8
